"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","symbol"
"ARHGEF33","1556881_at",0.5339504,0.232,1.24,-5.56469,0.41184665,"ARHGEF33","Rho guanine nucleotide exchange factor 33","ARHGEF33"
"CAPN13","234709_at",0.5339532,0.232,-1.24,-5.56474,-0.69643718,"CAPN13","calpain 13","CAPN13"
"UNC45A","221708_s_at",0.5340047,0.232,1.24,-5.56484,0.18040951,"UNC45A","unc-45 myosin chaperone A","UNC45A"
"GVQW2","1558651_at",0.5342911,0.232,1.24,-5.56547,0.81255187,"GVQW2","GVQW motif containing 2","GVQW2"
"H1FX-AS1","1558168_at",0.5343484,0.232,1.24,-5.5658,0.2918396,"H1FX-AS1","H1FX antisense RNA 1","H1FX-AS1"
"GMFG","204220_at",0.5344306,0.232,1.24,-5.56594,0.35558616,"GMFG","glia maturation factor gamma","GMFG"
"OPALIN","239575_at",0.5346032,0.232,1.24,-5.5663,0.27619695,"OPALIN","oligodendrocytic myelin paranodal and inner loop protein","OPALIN"
"LOC101927562","206374_at",0.5347683,0.232,-1.24,-5.56657,-0.27615791,"LOC101927562///DUSP8","uncharacterized LOC101927562///dual specificity phosphatase 8","LOC101927562"
"ZNF829","238952_x_at",0.5349091,0.232,1.24,-5.56685,0.29946938,"ZNF829","zinc finger protein 829","ZNF829"
"RELB","205205_at",0.5349091,0.232,-1.24,-5.56687,-0.53507517,"RELB","RELB proto-oncogene, NF-kB subunit","RELB"
"BET1L","220470_at",0.5349099,0.232,-1.24,-5.5669,-0.25708647,"BET1L","Bet1 golgi vesicular membrane trafficking protein like","BET1L"
"SURF6","225038_s_at",0.5351125,0.233,-1.24,-5.56727,-0.23353276,"SURF6","surfeit 6","SURF6"
"CADM4","215259_s_at",0.5351125,0.233,1.24,-5.56728,0.71191872,"CADM4","cell adhesion molecule 4","CADM4"
"DTD2","1553801_a_at",0.5351995,0.233,1.24,-5.56762,0.34952326,"DTD2","D-tyrosyl-tRNA deacylase 2 (putative)","DTD2"
"LALBA","207816_at",0.5353032,0.233,-1.24,-5.56795,-0.66704306,"LALBA","lactalbumin alpha","LALBA"
"KIAA0895","213424_at",0.5353032,0.233,-1.24,-5.56797,-0.34604634,"KIAA0895","KIAA0895","KIAA0895"
"SEC14L3","241221_at",0.5353032,0.233,-1.24,-5.56798,-0.64420347,"SEC14L3","SEC14 like lipid binding 3","SEC14L3"
"MIR3682","229926_at",0.5353152,0.233,-1.24,-5.56803,-0.34719504,"MIR3682","microRNA 3682","MIR3682"
"AICDA","219841_at",0.535392,0.233,1.24,-5.56835,0.77057996,"AICDA","activation-induced cytidine deaminase","AICDA"
"GPR1-AS","232799_at",0.5354516,0.233,1.24,-5.56864,0.53621876,"GPR1-AS","GPR1 antisense RNA","GPR1-AS"
"MIF4GD","231727_s_at",0.5354516,0.233,1.24,-5.56866,0.37133856,"MIF4GD","MIF4G domain containing","MIF4GD"
"LOC101928669","215625_at",0.5354516,0.233,-1.24,-5.56872,-0.720836,"LOC101928669///LOC644450","uncharacterized LOC101928669///uncharacterized LOC644450","LOC101928669"
"CYB5B","201634_s_at",0.5358187,0.233,-1.24,-5.56952,-0.23872914,"CYB5B","cytochrome b5 type B","CYB5B"
"UNC5CL","231008_at",0.5358752,0.233,-1.24,-5.56969,-0.2724241,"UNC5CL","unc-5 family C-terminal like","UNC5CL"
"TMEM235","1564040_a_at",0.5358812,0.233,-1.24,-5.56978,-0.40468793,"TMEM235","transmembrane protein 235","TMEM235"
"LINC01231","1562861_at",0.5359087,0.233,1.24,-5.56986,0.21814198,"LINC01231","long intergenic non-protein coding RNA 1231","LINC01231"
"SCGN","205697_at",0.5359109,0.233,-1.24,-5.57002,-1.01536153,"SCGN","secretagogin, EF-hand calcium binding protein","SCGN"
"MANBA","203778_at",0.5359109,0.233,1.24,-5.57002,0.54407397,"MANBA","mannosidase beta","MANBA"
"LOC648761","1569009_s_at",0.535915,0.233,1.24,-5.57009,0.25036201,"LOC648761///FAM201B","uncharacterized LOC648761///family with sequence similarity 201 member B","LOC648761"
"TUBA1A","209118_s_at",0.535933,0.233,1.24,-5.57015,0.29617302,"TUBA1A","tubulin alpha 1a","TUBA1A"
"ARVCF","205784_x_at",0.5359491,0.233,1.24,-5.5702,0.40051326,"ARVCF","armadillo repeat gene deleted in velocardiofacial syndrome","ARVCF"
"RFESD","239142_at",0.5359776,0.234,1.24,-5.57037,0.37090088,"RFESD","Rieske Fe-S domain containing","RFESD"
"FYTTD1","224641_at",0.5360179,0.234,-1.24,-5.57055,-0.25389519,"FYTTD1","forty-two-three domain containing 1","FYTTD1"
"CDC20","202870_s_at",0.5361062,0.234,1.24,-5.57073,0.50948637,"CDC20","cell division cycle 20","CDC20"
"LGALS4","204272_at",0.5361161,0.234,-1.24,-5.57079,-0.5236859,"LGALS4","galectin 4","LGALS4"
"C6orf99","230487_at",0.5361161,0.234,1.24,-5.57081,0.94894251,"C6orf99","chromosome 6 open reading frame 99","C6orf99"
"LOC101927531","1556362_at",0.5361326,0.234,1.24,-5.5709,0.33205425,"LOC101927531","uncharacterized LOC101927531","LOC101927531"
"FRA10AC1","238596_at",0.5361707,0.234,1.24,-5.5711,0.3008915,"FRA10AC1","fragile site, folic acid type, rare, fra(10)(q23.3) or fra(10)(q24.2) candidate 1","FRA10AC1"
"MPV17","203466_at",0.5362443,0.234,1.23,-5.57133,0.20230809,"MPV17","MPV17, mitochondrial inner membrane protein","MPV17"
"METAP1","212673_at",0.5364908,0.234,-1.23,-5.57186,-0.22461534,"METAP1","methionyl aminopeptidase 1","METAP1"
"TSPAN17","225235_at",0.536515,0.234,-1.23,-5.57194,-0.21227415,"TSPAN17","tetraspanin 17","TSPAN17"
"RUFY2","233191_at",0.536515,0.234,1.23,-5.57196,0.22352182,"RUFY2","RUN and FYVE domain containing 2","RUFY2"
"SEMG1","206442_at",0.5365704,0.234,1.23,-5.57207,0.76399959,"SEMG1","semenogelin I","SEMG1"
"LOC200609","233209_at",0.5366288,0.234,1.23,-5.57228,0.27547634,"LOC200609","uncharacterized LOC200609","LOC200609"
"TTTY4C","234913_at",0.5366456,0.234,1.23,-5.57242,0.62511028,"TTTY4C///TTTY4B///TTTY4","testis-specific transcript, Y-linked 4C (non-protein coding)///testis-specific transcript, Y-linked 4B (non-protein coding)///testis-specific transcript, Y-linked 4 (non-protein coding)","TTTY4C"
"EDN2","206758_at",0.5366595,0.234,-1.23,-5.57268,-0.75709991,"EDN2","endothelin 2","EDN2"
"IL17RE","236186_x_at",0.5366595,0.234,1.23,-5.57269,0.50461117,"IL17RE","interleukin 17 receptor E","IL17RE"
"NUS1P3","37079_at",0.5366595,0.234,-1.23,-5.57274,-0.33769119,"NUS1P3","NUS1 dehydrodolichyl diphosphate synthase subunit pseudogene 3","NUS1P3"
"MGAT4C","207447_s_at",0.5366595,0.234,-1.23,-5.57282,-0.67413948,"MGAT4C","MGAT4 family member C","MGAT4C"
"PLEKHA2","238013_at",0.536867,0.234,1.23,-5.57325,0.66701026,"PLEKHA2","pleckstrin homology domain containing A2","PLEKHA2"
"ACOT6","241949_at",0.5369101,0.234,1.23,-5.57339,0.36818596,"ACOT6","acyl-CoA thioesterase 6","ACOT6"
"LOC101929340","233527_at",0.5369261,0.235,1.23,-5.57348,0.22510141,"LOC101929340","uncharacterized LOC101929340","LOC101929340"
"TMEM268","221865_at",0.5369261,0.235,1.23,-5.5735,0.28523747,"TMEM268","transmembrane protein 268","TMEM268"
"GJC2","207025_at",0.5369352,0.235,-1.23,-5.57354,-0.38639375,"GJC2","gap junction protein gamma 2","GJC2"
"HORMAD1","223861_at",0.5371335,0.235,-1.23,-5.57404,-0.59770099,"HORMAD1","HORMA domain containing 1","HORMAD1"
"LINC01315","229930_at",0.5371486,0.235,1.23,-5.57409,0.59897916,"LINC01315","long intergenic non-protein coding RNA 1315","LINC01315"
"ABCC1","202805_s_at",0.5372097,0.235,-1.23,-5.57426,-0.22799579,"ABCC1","ATP binding cassette subfamily C member 1","ABCC1"
"GINS2","1557595_at",0.5372097,0.235,-1.23,-5.57426,-0.64325835,"GINS2","GINS complex subunit 2","GINS2"
"PHGR1","230485_at",0.5372281,0.235,1.23,-5.57439,0.37654697,"PHGR1","proline, histidine and glycine rich 1","PHGR1"
"IFNA2","211338_at",0.5372665,0.235,-1.23,-5.5745,-0.83421582,"IFNA2","interferon alpha 2","IFNA2"
"TAL2","231759_at",0.537278,0.235,1.23,-5.57458,0.30380762,"TAL2","TAL bHLH transcription factor 2","TAL2"
"SNUPN","207438_s_at",0.537278,0.235,1.23,-5.57458,0.33958098,"SNUPN","snurportin 1","SNUPN"
"NMNAT1","223692_at",0.5373023,0.235,1.23,-5.57468,0.37595963,"NMNAT1","nicotinamide nucleotide adenylyltransferase 1","NMNAT1"
"EMILIN2","221980_at",0.5374051,0.235,-1.23,-5.57491,-0.42649831,"EMILIN2","elastin microfibril interfacer 2","EMILIN2"
"ARNTL2-AS1","1563101_at",0.5374918,0.235,1.23,-5.57523,0.95757171,"ARNTL2-AS1","ARNTL2 antisense RNA 1","ARNTL2-AS1"
"TRPC5OS","231138_at",0.5374918,0.235,1.23,-5.57524,0.60051023,"TRPC5OS","TRPC5 opposite strand","TRPC5OS"
"HES7","224548_at",0.5374918,0.235,1.23,-5.57535,0.31712022,"HES7","hes family bHLH transcription factor 7","HES7"
"S100A1","205334_at",0.537614,0.235,1.23,-5.57558,0.25766928,"S100A1","S100 calcium binding protein A1","S100A1"
"ANKRD46","212731_at",0.5378162,0.235,1.23,-5.57605,0.24413875,"ANKRD46","ankyrin repeat domain 46","ANKRD46"
"CPNE8","241706_at",0.537845,0.235,-1.23,-5.57615,-0.24272756,"CPNE8","copine 8","CPNE8"
"TMED2","204426_at",0.5378706,0.235,-1.23,-5.57625,-0.30693368,"TMED2","transmembrane p24 trafficking protein 2","TMED2"
"LOC105377925","1561765_at",0.5378883,0.235,-1.23,-5.57636,-1.52090519,"LOC105377925","uncharacterized LOC105377925","LOC105377925"
"BHMT2","219902_at",0.5378925,0.235,1.23,-5.5764,0.37979788,"BHMT2","betaine--homocysteine S-methyltransferase 2","BHMT2"
"OSBPL2","209222_s_at",0.5378925,0.235,1.23,-5.57643,0.24398746,"OSBPL2","oxysterol binding protein like 2","OSBPL2"
"CHRNA10","239717_at",0.5379824,0.236,-1.23,-5.57662,-0.38412972,"CHRNA10","cholinergic receptor nicotinic alpha 10 subunit","CHRNA10"
"WNT10A","223709_s_at",0.5382429,0.236,1.23,-5.57724,0.35067145,"WNT10A","Wnt family member 10A","WNT10A"
"LOC100996342","1569426_at",0.5382429,0.236,1.23,-5.57731,0.84352636,"LOC100996342","uncharacterized LOC100996342","LOC100996342"
"ASTN2","209693_at",0.5384406,0.236,1.23,-5.57769,0.37537185,"ASTN2","astrotactin 2","ASTN2"
"SYN2","210315_at",0.5384939,0.236,1.23,-5.57781,0.54468778,"SYN2","synapsin II","SYN2"
"TOX","204530_s_at",0.5384939,0.236,-1.23,-5.57786,-0.75804051,"TOX","thymocyte selection associated high mobility group box","TOX"
"ANGPTL3","231684_at",0.5385515,0.236,-1.23,-5.57809,-0.88846397,"ANGPTL3","angiopoietin like 3","ANGPTL3"
"ZNF134","206182_at",0.5385661,0.236,-1.23,-5.57817,-0.29688917,"ZNF134","zinc finger protein 134","ZNF134"
"LOC100130476","243871_at",0.5386071,0.236,-1.23,-5.57829,-0.6429272,"LOC100130476","uncharacterized LOC100130476","LOC100130476"
"EMC7","217898_at",0.5386475,0.236,-1.23,-5.57854,-0.16200148,"EMC7","ER membrane protein complex subunit 7","EMC7"
"CCDC17","236320_at",0.5386964,0.236,-1.23,-5.57874,-0.43471476,"CCDC17","coiled-coil domain containing 17","CCDC17"
"DOCK2","213160_at",0.5387586,0.236,-1.23,-5.57888,-0.57972729,"DOCK2","dedicator of cytokinesis 2","DOCK2"
"ADCYAP1R1","226690_at",0.5387826,0.236,1.23,-5.57894,0.23404833,"ADCYAP1R1","ADCYAP receptor type I","ADCYAP1R1"
"KCNJ3","207142_at",0.5388135,0.236,-1.23,-5.57904,-1.00047327,"KCNJ3","potassium voltage-gated channel subfamily J member 3","KCNJ3"
"RASL11A","238353_at",0.53892,0.236,-1.23,-5.57922,-0.22989157,"RASL11A","RAS like family 11 member A","RASL11A"
"CLIP2","211031_s_at",0.5389915,0.236,-1.23,-5.57938,-0.49854467,"CLIP2","CAP-Gly domain containing linker protein 2","CLIP2"
"KATNAL2","1554234_at",0.5390699,0.236,1.23,-5.57958,0.6052584,"KATNAL2","katanin catalytic subunit A1 like 2","KATNAL2"
"TRMO","222195_s_at",0.5390699,0.236,-1.23,-5.57962,-0.6172068,"TRMO","tRNA methyltransferase O","TRMO"
"HBE1","205919_at",0.5391389,0.237,1.23,-5.57979,0.48757393,"HBE1","hemoglobin subunit epsilon 1","HBE1"
"HILS1","231229_at",0.5391389,0.237,-1.23,-5.5798,-0.3626233,"HILS1","histone linker H1 domain, spermatid-specific 1 (pseudogene)","HILS1"
"HDAC5","202455_at",0.5392074,0.237,1.23,-5.58004,0.19743942,"HDAC5","histone deacetylase 5","HDAC5"
"LOXL1-AS1","232752_at",0.5392074,0.237,-1.23,-5.5801,-0.30490811,"LOXL1-AS1","LOXL1 antisense RNA 1","LOXL1-AS1"
"LOC101926997","216772_at",0.5392074,0.237,1.23,-5.58025,0.44916898,"LOC101926997","uncharacterized LOC101926997","LOC101926997"
"NECTIN1","225211_at",0.5392074,0.237,-1.23,-5.58028,-0.23301761,"NECTIN1","nectin cell adhesion molecule 1","NECTIN1"
"TAAR9","1553066_at",0.5392074,0.237,1.23,-5.58032,0.32767494,"TAAR9","trace amine associated receptor 9 (gene/pseudogene)","TAAR9"
"ADGRG7","1553296_at",0.5392074,0.237,1.23,-5.58034,0.53961589,"ADGRG7","adhesion G protein-coupled receptor G7","ADGRG7"
"MPV17L2","223473_at",0.5392074,0.237,-1.23,-5.5804,-0.30398174,"MPV17L2","MPV17 mitochondrial inner membrane protein like 2","MPV17L2"
"LOC101928162","231446_at",0.5394754,0.237,1.23,-5.5809,0.45898656,"LOC101928162","uncharacterized LOC101928162","LOC101928162"
"ZFR","213286_at",0.5394754,0.237,-1.23,-5.58094,-0.54694938,"ZFR","zinc finger RNA binding protein","ZFR"
"HTR1A","221351_at",0.5394754,0.237,1.23,-5.58118,0.53131712,"HTR1A","5-hydroxytryptamine receptor 1A","HTR1A"
"LOC101928435","1561481_at",0.5394754,0.237,1.23,-5.58119,0.66711479,"LOC101928435","uncharacterized LOC101928435","LOC101928435"
"NDST3","220429_at",0.5394754,0.237,1.23,-5.58119,0.54927716,"NDST3","N-deacetylase and N-sulfotransferase 3","NDST3"
"STAC2","228888_at",0.5394754,0.237,1.23,-5.58137,0.2948833,"STAC2","SH3 and cysteine rich domain 2","STAC2"
"NMRK1","1562761_at",0.5394754,0.237,1.23,-5.58139,0.33058692,"NMRK1","nicotinamide riboside kinase 1","NMRK1"
"CHTOP","209927_s_at",0.5394754,0.237,-1.23,-5.58139,-0.22476535,"CHTOP","chromatin target of PRMT1","CHTOP"
"OLMALINC","225457_s_at",0.5395046,0.237,1.23,-5.58153,0.33047319,"OLMALINC///PP7080","oligodendrocyte maturation-associated long intergenic non-coding RNA///uncharacterized LOC25845","OLMALINC"
"LINC00886","230780_at",0.5395046,0.237,1.23,-5.58161,0.51979413,"LINC00886","long intergenic non-protein coding RNA 886","LINC00886"
"TECR","208336_s_at",0.5395046,0.237,1.23,-5.58161,0.2092771,"TECR","trans-2,3-enoyl-CoA reductase","TECR"
"OLFML2A","213075_at",0.5395437,0.237,1.23,-5.5817,0.45670207,"OLFML2A","olfactomedin like 2A","OLFML2A"
"KLF5","209212_s_at",0.5395437,0.237,-1.23,-5.58177,-0.51513555,"KLF5","Kruppel like factor 5","KLF5"
"ABHD6","221679_s_at",0.5395456,0.237,1.23,-5.58187,0.30650893,"ABHD6","abhydrolase domain containing 6","ABHD6"
"MRAP2","227226_at",0.5395456,0.237,1.23,-5.5819,0.61045053,"MRAP2","melanocortin 2 receptor accessory protein 2","MRAP2"
"CHST5","221164_x_at",0.5396181,0.237,-1.23,-5.58213,-0.31389089,"CHST5","carbohydrate sulfotransferase 5","CHST5"
"BCAN","219107_at",0.5396501,0.237,1.23,-5.58222,0.26581046,"BCAN","brevican","BCAN"
"CCNE2","211814_s_at",0.5396808,0.237,1.23,-5.58231,0.26128971,"CCNE2","cyclin E2","CCNE2"
"TFDP2","203589_s_at",0.5396808,0.237,1.23,-5.58232,0.38330679,"TFDP2","transcription factor Dp-2","TFDP2"
"LOC101930591","211068_x_at",0.5396808,0.237,1.23,-5.58235,0.21792182,"LOC101930591///FAM21C","uncharacterized LOC101930591///family with sequence similarity 21 member C","LOC101930591"
"TTC28-AS1","232246_at",0.5396834,0.237,1.23,-5.58239,0.44986306,"TTC28-AS1","TTC28 antisense RNA 1","TTC28-AS1"
"CDIP1","218183_at",0.5397486,0.237,-1.23,-5.58251,-0.32227939,"CDIP1","cell death inducing p53 target 1","CDIP1"
"TSPO2","215449_at",0.5399273,0.238,1.22,-5.583,0.31997534,"TSPO2","translocator protein 2","TSPO2"
"TRIM68","219405_at",0.5400835,0.238,1.22,-5.58331,0.26124834,"TRIM68","tripartite motif containing 68","TRIM68"
"SNTG1","1562287_at",0.5401021,0.238,1.22,-5.58338,0.74137791,"SNTG1","syntrophin gamma 1","SNTG1"
"ADAM6","237909_at",0.5401021,0.238,1.22,-5.5834,0.42696996,"ADAM6","ADAM metallopeptidase domain 6 (pseudogene)","ADAM6"
"LOC101929572","235445_at",0.5401409,0.238,1.22,-5.58348,0.61804858,"LOC101929572///POTEH-AS1///LOC100508046","uncharacterized LOC101929572///POTEH antisense RNA 1///uncharacterized LOC100508046","LOC101929572"
"STAT6","201331_s_at",0.5401494,0.238,1.22,-5.58372,0.18791582,"STAT6","signal transducer and activator of transcription 6","STAT6"
"LINC01101","1553385_at",0.5401494,0.238,1.22,-5.58376,0.49880376,"LINC01101","long intergenic non-protein coding RNA 1101","LINC01101"
"SERPINC1","210049_at",0.540161,0.238,1.22,-5.58388,0.28728799,"SERPINC1","serpin family C member 1","SERPINC1"
"PEX11B","202658_at",0.5401927,0.238,1.22,-5.58395,0.18862432,"PEX11B","peroxisomal biogenesis factor 11 beta","PEX11B"
"LOC105376379","234120_at",0.5402844,0.238,1.22,-5.5843,0.60014376,"LOC105376379","uncharacterized LOC105376379","LOC105376379"
"TIMM13","218188_s_at",0.5402844,0.238,-1.22,-5.58436,-0.22422436,"TIMM13","translocase of inner mitochondrial membrane 13","TIMM13"
"OSR1","228399_at",0.5403306,0.238,-1.22,-5.58451,-0.68179303,"OSR1","odd-skipped related transciption factor 1","OSR1"
"MT1M","217546_at",0.5403825,0.238,-1.22,-5.58465,-0.5343677,"MT1M","metallothionein 1M","MT1M"
"NOD2","220066_at",0.5404135,0.238,-1.22,-5.58472,-0.59299905,"NOD2","nucleotide binding oligomerization domain containing 2","NOD2"
"KBTBD4","223765_s_at",0.5404147,0.238,-1.22,-5.58479,-0.58771374,"KBTBD4","kelch repeat and BTB domain containing 4","KBTBD4"
"IFNLR1","244261_at",0.5404147,0.238,-1.22,-5.5849,-0.62433408,"IFNLR1","interferon lambda receptor 1","IFNLR1"
"SLC37A4","217289_s_at",0.5404147,0.238,-1.22,-5.58491,-0.33350325,"SLC37A4","solute carrier family 37 member 4","SLC37A4"
"ARL6IP5","200760_s_at",0.5404645,0.238,1.22,-5.58503,0.20316451,"ARL6IP5","ADP ribosylation factor like GTPase 6 interacting protein 5","ARL6IP5"
"NYNRIN","220911_s_at",0.5405945,0.238,1.22,-5.5853,0.52540893,"NYNRIN","NYN domain and retroviral integrase containing","NYNRIN"
"MMP17","206234_s_at",0.5405945,0.238,1.22,-5.58531,0.37978936,"MMP17","matrix metallopeptidase 17","MMP17"
"TEX264","218548_x_at",0.5409624,0.239,-1.22,-5.58606,-0.19174595,"TEX264","testis expressed 264","TEX264"
"C7orf71","1559627_at",0.5409845,0.239,1.22,-5.58619,0.6137204,"C7orf71","chromosome 7 open reading frame 71","C7orf71"
"ZNF331","219228_at",0.5409845,0.239,-1.22,-5.58622,-0.30748582,"ZNF331","zinc finger protein 331","ZNF331"
"TCTEX1D1","1553635_s_at",0.5410109,0.239,1.22,-5.58628,0.49703478,"TCTEX1D1","Tctex1 domain containing 1","TCTEX1D1"
"COPE","220469_at",0.5410229,0.239,1.22,-5.58638,0.83670438,"COPE","coatomer protein complex subunit epsilon","COPE"
"PKP2","214154_s_at",0.5410871,0.239,-1.22,-5.58659,-0.53116914,"PKP2","plakophilin 2","PKP2"
"CCDC18-AS1","227074_at",0.5410871,0.239,1.22,-5.58662,0.33561555,"CCDC18-AS1","CCDC18 antisense RNA 1","CCDC18-AS1"
"IFFO1","209721_s_at",0.5410871,0.239,-1.22,-5.58663,-0.25276287,"IFFO1","intermediate filament family orphan 1","IFFO1"
"GRHL1","1552685_a_at",0.5411135,0.239,-1.22,-5.58672,-0.35042011,"GRHL1","grainyhead like transcription factor 1","GRHL1"
"VNN1","205844_at",0.5412278,0.239,1.22,-5.5871,0.36735452,"VNN1","vanin 1","VNN1"
"NUP88","214192_at",0.5413493,0.239,1.22,-5.58749,0.35481139,"NUP88","nucleoporin 88","NUP88"
"TRABD2B","241707_at",0.5413493,0.239,-1.22,-5.58752,-0.45570404,"TRABD2B","TraB domain containing 2B","TRABD2B"
"STK3","211078_s_at",0.5413493,0.239,-1.22,-5.58753,-0.33092814,"STK3","serine/threonine kinase 3","STK3"
"CTB-12O2.1","233237_at",0.5413493,0.239,-1.22,-5.58754,-0.31542143,"CTB-12O2.1","uncharacterized LOC101927115","CTB-12O2.1"
"LOC646626","244619_at",0.5413493,0.239,-1.22,-5.58756,-0.60332697,"LOC646626","uncharacterized LOC646626","LOC646626"
"FXYD2","205674_x_at",0.5413493,0.239,-1.22,-5.58758,-0.33913484,"FXYD2","FXYD domain containing ion transport regulator 2","FXYD2"
"NDUFAF5","222894_x_at",0.5416234,0.239,1.22,-5.58802,0.22598123,"NDUFAF5","NADH:ubiquinone oxidoreductase complex assembly factor 5","NDUFAF5"
"RNF212","236454_at",0.5416348,0.239,1.22,-5.58806,0.3426956,"RNF212","ring finger protein 212","RNF212"
"LOC728175","1554732_at",0.5416932,0.239,1.22,-5.58824,0.31189598,"LOC728175","uncharacterized LOC728175","LOC728175"
"BNC1","206581_at",0.5416932,0.239,-1.22,-5.58827,-0.41526784,"BNC1","basonuclin 1","BNC1"
"LOC102725382","1560920_s_at",0.5416932,0.239,-1.22,-5.5883,-0.41676894,"LOC102725382","uncharacterized LOC102725382","LOC102725382"
"ZNF497","230857_s_at",0.5417569,0.239,1.22,-5.58845,0.30676458,"ZNF497","zinc finger protein 497","ZNF497"
"RASGRP2","214367_at",0.5418085,0.239,-1.22,-5.58861,-0.35242709,"RASGRP2","RAS guanyl releasing protein 2","RASGRP2"
"LOC100505622","243961_at",0.5419333,0.239,1.22,-5.58881,0.64606111,"LOC100505622","uncharacterized LOC100505622","LOC100505622"
"LSM6","205036_at",0.5419398,0.239,1.22,-5.58885,0.17439593,"LSM6","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated","LSM6"
"EHBP1","212653_s_at",0.5420383,0.239,1.22,-5.58902,0.22974028,"EHBP1","EH domain binding protein 1","EHBP1"
"LOC101929540","211050_x_at",0.5420941,0.24,-1.22,-5.58912,-0.8576101,"LOC101929540///LOC101928670///LOC101928344///LOC100996442///LOC100288069///LOC100134822","uncharacterized LOC101929540///uncharacterized LOC101928670///uncharacterized LOC101928344///uncharacterized LOC100996442///uncharacterized LOC100288069///uncharacterized LOC100134822","LOC101929540"
"TMEM213","240183_at",0.5420941,0.24,-1.22,-5.58916,-0.62049265,"TMEM213","transmembrane protein 213","TMEM213"
"MCM8","233560_x_at",0.5421135,0.24,1.22,-5.58927,0.63182721,"MCM8","minichromosome maintenance 8 homologous recombination repair factor","MCM8"
"LINC00567","1559079_at",0.5423561,0.24,1.22,-5.58967,0.63518285,"LINC00567","long intergenic non-protein coding RNA 567","LINC00567"
